1  1  174.73  2.74  2608  1.44  192  88  442  62  14  16  0.74
2  1  147.43  4.23  3167  1.73  180  81  522  66  16  20  1.48
3  1  155.39  2.78  2359  1.27  249  110  413  85  15  24  1.33
4  1  141.46  1.92  1766  0.76  189  117  314  63  15  21  0.95
5  1  148.54  3.95  1647  0.48  188  99  304  73  15  17  0.64
6  1  135.3  1.99  1505  0.44  147  72  263  58  13  14  0.6
7  1  145.8  1.87  1755  0.52  125  111  302  47  13  16  0.62
9  1  150.83  2  1902  0.86  188  112  325  76  15  23  1
10  1  146.21  1.89  1970  0.96  236  105  327  93  12  20  1.16
11  1  167.43  1.73  2069  0.92  209  108  343  85  13  20  0.92
12  1  147.65  4.64  2306  1.15  208  101  381  73  15  25  1.37
13  1  155.8  3.21  2827  1.73  230  85  454  87  13  18  1.37
14  1  152.11  3.07  3187  2.02  201  94  491  95  15  23  2.34
15  1  161.02  2.54  3952  2.44  202  112  628  117  15  36  2.85
16  1  171.58  2.81  2973  1.78  191  82  444  94  14  18  1.75
17  1  160.72  4.35  1963  1.5  260  95  307  88  15  19  1.04
18  1  151.71  4.79  1612  1.15  197  85  259  69  16  21  0.69
19  1  137.44  4.12  1650  0.89  142  86  290  41  16  13  0.35
20  1  136.81  4.1  1759  0.97  139  77  322  63  16  11  0.72
21  1  126.73  4.34  1765  0.98  116  65  342  75  14  9  0.35
22  1  130.15  4.07  1858  0.87  142  79  356  60  17  13  0.36
23  1  139.24  2.35  2152  1.32  220  99  363  110  16  19  1.04
24  1  163.2  6.35  2172  1.21  271  82  342  114  17  16  1.26
25  1  159.59  3.96  2191  1.52  247  46  341  88  12  12  1.02
26  1  147.29  4.65  3179  2.1  298  117  528  91  17  26  1.33
27  1  167.77  5.52  3096  2.14  332  78  519  63  17  20  1.31
28  1  181.79  5.74  3931  2.59  248  86  651  73  19  21  2.16
1  2  148.83  3.31  1997  0.92  212  199  330  75  16  41  0.89
2  2  152.27  4.79  2589  1.32  161  79  360  67  17  19  1.17
3  2  148.18  6.76  2874  1.58  177  129  431  65  19  45  1.99
4  2  171.04  2.66  3697  2.23  255  141  521  92  15  46  3.2
5  2  169.05  5.68  4053  2.64  225  181  608  81  18  52  3.2
7  2  154.23  3.55  3898  2.44  197  98  560  104  15  33  3.85
8  2  156.13  6.29  3525  2.33  216  130  507  91  18  36  2.73
9  2  142.14  6.48  2823  1.73  209  131  404  78  19  29  2.63
10  2  155.8  6.68  2185  1.28  188  115  306  71  19  24  1.5
11  2  136.76  6.01  2023  1.32  163  118  312  72  17  22  1.43
12  2  134.93  4.87  2283  0.72  151  72  320  76  14  13  1.2
13  2  151.31  1.9  2535  1.11  217  112  365  78  12  19  1.44
14  2  144.29  5.53  3232  1.52  242  128  467  76  16  25  2.54
15  2  157.5  6.86  3533  2.09  262  119  518  76  17  25  2.21
16  2  172.82  4.32  3761  2.4  252  115  579  87  12  30  2.15
17  2  164.67  6.17  4938  2.77  113  100  694  132  15  29  2.23
19  2  160.87  2.85  4686  2.63  158  179  648  113  14  46  2.64
20  2  149.21  6.25  3423  1.89  190  115  495  89  17  23  2.27
21  2  148.22  2.89  2340  1.3  248  120  340  86  13  26  1.45
22  2  138.79  2.55  1603  0.74  190  104  244  84  13  17  0.74
23  2  137.53  5.18  2002  0.92  160  125  340  107  14  23  1.46
24  2  153.52  2.7  2412  1.35  200  120  372  93  13  24  1.43
25  2  156.28  3.12  2554  1.39  240  117  393  82  14  24  1.44
26  2  143.91  3  3373  1.89  260  126  516  91  14  27  2.21
27  2  160.85  6.84  3823  2.12  246  119  556  86  19  27  2.26
28  2  176.37  4.47  5260  3.29  187  88  553  127  14  24  2.23
1  3  160.71  4.6  4909  3.58  163  92  711  114  17  25  1.91
2  3  163.46  7.12  5230  3.28  114  68  512  97  21  21  1.66
3  3  152.68  4.28  8016  3.89  93  79  465  125  14  15  2.55
5  3  160.48  3.6  10437  4.04  73  102  507  110  16  17  1.89
6  3  180.74  4.96  6209  3.5  87  115  512  117  15  22  2.52
7  3  159.65  5.58  5524  3.44  146  106  660  128  16  20  3.05
8  3  180.01  4.57  5591  3.47  134  111  707  114  16  23  2.62
9  3  171.75  4.02  6006  3.73  135  136  627  127  14  33  2.92
10  3  164.69  3.59  9388  3.23  72  100  450  105  18  22  1.9
11  3  164.63  3.91  7739  3.57  102  88  449  150  13  27  1.84
12  3  158.71  3.75  5148  2.89  144  68  510  140  15  22  2.65
13  3  156.44  3.42  3788  2.15  163  82  444  101  17  16  1.92
14  3  142.7  2.15  3261  1.61  190  96  413  98  14  13  1.85
15  3  136.61  1.9  2777  1.39  193  112  373  74  12  20  1.49
17  3  115.96  2.37  2285  1.13  156  71  315  67  13  14  1.15
18  3  142.46  2.39  2063  1.07  184  84  279  75  14  15  1.14
19  3  147.23  4.11  2220  1.45  198  72  284  79  14  13  1.13
20  3  158.85  7.1  2874  1.88  217  77  387  102  18  14  2.37
21  3  149.17  3.46  3629  2.28  213  81  496  114  13  23  1.77
22  3  161.87  3.8  4520  2.73  161  74  635  126  14  22  2.43
23  3  161.28  3.57  4918  2.96  142  92  739  107  13  23  2.69
24  3  158.27  3.68  5251  3.46  120  87  875  132  13  22  2.48
