9.95   9.4   8.13   72   90   62
7.71   0   8   63   26   78
10   9.5   8.13   79   55   80
9.95   9.4   8.88   89   77   79
9.95   9.2   8.5   83   84   67
10   9.9   9.63   96   94   93
10   9.25   9.25   78   85   86
10   9.5   8.5   71   83   66
10   9.15   8.13   91   91   91
8.43   9   8.5   76   61   80
7.38   7.35   8.5   65   62   42
9.86   9   6.63   58   21   31
9.86   9.6   7.63   98   84   87
9.67   8.3   7.38   89   62   75
10   9.4   8.13   71   84   78
10   9.55   9.25   100   72   87
10   8.1   6.88   90   72   85
2   0.95   8.13   62   45   37
10   7.65   8.88   53   47   61
10   6.3   6   77   74   73
9   6.75   9.63   85   79   65
9.86   9.55   7.38   85   61   70
8.43   9.25   7   82   77   83
10   8.25   8.13   80   75   85
10   9.45   7.75   79   76   77
10   9.4   8.5   82   70   94
9.43   4.65   1.25   52   60   69
10   9.75   8.5   91   85   79
9.43   9.3   6.13   89   79   60
10   6.7   8.13   73   90   59
10   9.65   9.63   91   92   94
10   9.75   8   97   76   88
10   9.65   8.5   87   75   82
10   9.75   9.63   82   80   78
10   9.65   9.63   93   94   88
10   9.3   7.75   85   100   86
9.43   9.65   8.5   64   78   60
10   9.6   8.5   73   86   76
10   9.2   8.5   79   66   64
9.86   9.7   9.25   100   82   94
9.95   7.4   6.88   67   23   68
10   9.4   8.88   77   80   80
10   9.5   9.63   92   82   79
10   9.35   8.5   51   43   52
10   9.45   8.13   81   77   75
10   9.5   8.88   72   78   78
10   9.6   8.13   89   78   77
10   9.6   8.71   87   83   79
10   9.8   6.63   75   80   65
9.43   9.6   7.75   71   72   73
9.86   9.5   8.5   77   72   74
9.91   9.66   8.5   89   67   85
9.52   9.56   5.75   67   86   83
9.51   7.93   7   44   26   59
9.97   9.66   5.88   85   77   57
9.83   9.68   8.13   71   56   56
9.4   7.6   7.38   93   71   72
9.83   6.34   8.5   87   57   58
8.98   8.15   8.88   92   91   80
10   9.82   9.25   96   74   86
10   9.83   8.5   87   82   86
9.93   9.73   8.88   91   94   97
9.97   9.39   7.75   58   74   76
9.54   9.48   7.38   51   8   60
9.8   9.64   8.13   71   66   78
10   9.25   8.13   72   43   54
9.55   8.1   8.13   85   80   81
9.43   9.44   7   79   51   62
9.97   2.83   6.5   60   22   58
9.93   8.91   7.75   79   44   73
10   9.75   8.5   77   59   70
8.86   8.18   8.13   87   82   78
10   9.92   8.88   85   84   81
9.97   9.88   9.63   100   71   90
9.54   9.39   9.25   87   92   85
9.95   9.73   6.25   69   60   42
9.11   9.11   8   60   81   69
9.97   9.83   8.88   79   71   90
9.95   8.49   3.5   84   64   69
9.52   9.76   8.13   87   65   80
9.97   9.55   5.88   65   43   34
9.97   9.8   7.38   72   70   71
9.97   9.76   8.5   88   83   89
10   9.57   8.13   73   74   66
6.71   3.75   1.75   64   0   57
9.95   9.51   7   78   66   67
10   7.46   2.75   89   63   72
9.95   9.78   8.5   93   80   91
9.49   9.61   8.5   83   87   98
9.51   9.66   8.13   58   73   81
9.83   9.85   9.63   100   77   95
9.68   9.85   7.75   74   77   84
9.54   9.42   8.13   80   76   80
10   9.85   10   100   100   100
